Usia,Pendidikan,Pengalaman_Kerja,Kemampuan_Bahasa,Keterampilan,Kesehatan,Kelengkapan_Dokumen,Negara_Penempatan
Memenuhi,SMP,Ada,Kurang,Tidak Sesuai,Sehat,Tidak Lengkap,Malaysia
Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Sehat,Tidak Lengkap,Malaysia
Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Ada Riwayat Penyakit,Lengkap,Malaysia
Memenuhi,SMP,Ada,Cukup,Tidak Sesuai,Sehat,Tidak Lengkap,Malaysia
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Cukup,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Ada Riwayat Penyakit,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,D3,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Tidak Ada,Cukup,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Ada,Kurang,Tidak Sesuai,Ada Riwayat Penyakit,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Ada Riwayat Penyakit,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMA,Tidak Ada,Kurang,Tidak Sesuai,Ada Riwayat Penyakit,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
Tidak Memenuhi,SMP,Tidak Ada,Kurang,Tidak Sesuai,Tidak Sehat,Tidak Lengkap,Tidak Layak
